Row Number,sxolio,taxi,mathima,thema
238,ΤΟΜΕΑΣ ΕΦΑΡΜΟΣΜΕΝΩΝ ΤΕΧΝΩΝ,Γ' ΕΠΑ.Λ,ΕΛΕΥΘΕΡΟ ΣΧΕΔΙΟ,ΕΛΕΥΘΕΡΟ ΣΧΕΔΙΟ - ΧΡΩΜΑ
181,ΤΟΜΕΑΣ ΥΓΕΙΑΣ - ΠΡΟΝΟΙΑΣ - ΕΥΕΞΙΑΣ,Γ' ΕΠΑ.Λ,ΚΟΣΜΗΤΟΛΟΓΙΑ,ΚΟΣΜΗΤΟΛΟΓΙΑ
136,ΤΟΜΕΑΣ ΥΓΕΙΑΣ - ΠΡΟΝΟΙΑΣ - ΕΥΕΞΙΑΣ,Β' ΕΠΑ.Λ,ΔΗΜΙΟΥΡΓΙΚΗ ΑΠΑΣΧΟΛΗΣΗ ΣΤΗΝ ΠΡΟΣΧΟΛΙΚΗ ΗΛΙΚΙΑ Ι,ΑΙΣΘΗΤΙΚΗ ΑΓΩΓΗ
171,ΤΟΜΕΑΣ ΕΦΑΡΜΟΣΜΕΝΩΝ ΤΕΧΝΩΝ,Β' ΕΠΑ.Λ,ΕΦΑΡΜΟΣΜΕΝΕΣ ΤΕΧΝΕΣ ΜΕ ΧΡΗΣΗ Η/Υ,ΕΦΑΡΜΟΓΕΣ ΗΛΕΚΤΡΟΝΙΚΟΥ ΥΠΟΛΟΓΙΣΤΗ
137,ΤΟΜΕΑΣ ΥΓΕΙΑΣ - ΠΡΟΝΟΙΑΣ - ΕΥΕΞΙΑΣ,Γ' ΕΠΑ.Λ,ΣΥΓΧΡΟΝΗ ΑΙΣΘΗΤΙΚΗ ΙΙ,ΣΥΓΧΡΟΝΗ ΑΙΣΘΗΤΙΚΗ
214,ΤΟΜΕΑΣ ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ,Γ' ΕΠΑ.Λ,ΕΦΑΡΜΟΓΕΣ ΣΤΟΝ ΤΟΥΡΙΣΜΟ,ΕΦΑΡΜΟΓΕΣ Η/Υ ΣΤΟΝ ΤΟΥΡΙΣΜΟ Β
258,ΤΟΜΕΑΣ ΥΓΕΙΑΣ - ΠΡΟΝΟΙΑΣ - ΕΥΕΞΙΑΣ,Γ' ΕΠΑ.Λ,ΦΑΡΜΑΚΕΥΤΙΚΗ ΤΕΧΝΟΛΟΓΙΑ ΙΙ,ΦΑΡΜΑΚΕΥΤΙΚΗ ΤΕΧΝΟΛΟΓΙΑ Ι & ΙΙ
205,ΜΑΘΗΜΑΤΑ ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,Α' Λυκείου,ΘΡΗΣΚΕΥΤΙΚΑ,ΘΡΗΣΚΕΥΤΙΚΑ: ΟΡΘΟΔΟΞΗ ΠΙΣΤΗ ΚΑΙ ΛΑΤΡΕΙΑ
253,ΜΑΘΗΜΑΤΑ ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,Α' Λυκείου,ΦΥΣΙΚΗ,ΦΥΣΙΚΗ
234,ΤΟΜΕΑΣ ΥΓΕΙΑΣ - ΠΡΟΝΟΙΑΣ - ΕΥΕΞΙΑΣ,Β' ΕΠΑ.Λ,ΒΑΣΙΚΕΣ ΕΦΑΡΜΟΓΕΣ ΚΟΜΜΩΤΙΚΗΣ Ι,ΕΡΓΑΣΤΗΡΙΟ ΚΟΜΜΩΤΙΚΗΣ Ι
252,ΜΑΘΗΜΑΤΑ ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,Α' Λυκείου,ΕΦΑΡΜΟΓΕΣ ΠΛΗΡΟΦΟΡΙΚΗΣ,ΕΦΑΡΜΟΓΕΣ ΠΛΗΡΟΦΟΡΙΚΗΣ - ΥΠΟΛΟΓΙΣΤΩΝ
