Average Removal Rate: 1.75%
Average Total Lines: 14081.80
Total Lines Across All Files: 7843565
Average Characters per Line Across All Files: 26.55

File Statistics (Lines Removed, Total Lines, Avg Characters per Line):
paper_403.txt: 5.98% removed, 10009 total lines, 36.71 avg chars/line
paper_376.txt: 0.59% removed, 8473 total lines, 27.01 avg chars/line
paper_618.txt: 2.24% removed, 24782 total lines, 24.57 avg chars/line
paper_75.txt: 0.55% removed, 9078 total lines, 35.87 avg chars/line
paper_395.txt: 0.34% removed, 23674 total lines, 31.48 avg chars/line
paper_471.txt: 0.97% removed, 15087 total lines, 39.06 avg chars/line
paper_242.txt: 2.92% removed, 23847 total lines, 25.04 avg chars/line
paper_154.txt: 6.76% removed, 9100 total lines, 34.32 avg chars/line
paper_323.txt: 2.58% removed, 14613 total lines, 37.88 avg chars/line
paper_275.txt: 1.57% removed, 13338 total lines, 35.65 avg chars/line
paper_616.txt: 0.52% removed, 21352 total lines, 19.73 avg chars/line
paper_187.txt: 0.88% removed, 14067 total lines, 26.97 avg chars/line
paper_265.txt: 0.23% removed, 18033 total lines, 17.43 avg chars/line
paper_425.txt: 1.68% removed, 20728 total lines, 36.96 avg chars/line
paper_299.txt: 1.81% removed, 13578 total lines, 36.05 avg chars/line
paper_348.txt: 0.11% removed, 50262 total lines, 14.82 avg chars/line
paper_621.txt: 0.34% removed, 23674 total lines, 31.48 avg chars/line
paper_489.txt: 0.93% removed, 21481 total lines, 30.51 avg chars/line
paper_205.txt: 2.05% removed, 15154 total lines, 26.58 avg chars/line
paper_660.txt: 0.65% removed, 25200 total lines, 19.46 avg chars/line
paper_745.txt: 1.59% removed, 20535 total lines, 29.50 avg chars/line
paper_585.txt: 2.60% removed, 12278 total lines, 33.27 avg chars/line
paper_743.txt: 6.23% removed, 13121 total lines, 33.09 avg chars/line
paper_504.txt: 0.34% removed, 23674 total lines, 31.48 avg chars/line
paper_522.txt: 2.03% removed, 6552 total lines, 31.50 avg chars/line
paper_473.txt: 3.43% removed, 16186 total lines, 24.71 avg chars/line
paper_584.txt: 0.15% removed, 23906 total lines, 15.97 avg chars/line
paper_324.txt: 0.00% removed, 1 total lines, 364.00 avg chars/line
paper_673.txt: 1.40% removed, 44682 total lines, 12.62 avg chars/line
paper_572.txt: 0.37% removed, 13446 total lines, 38.82 avg chars/line
paper_353.txt: 3.08% removed, 4645 total lines, 40.10 avg chars/line
paper_516.txt: 6.50% removed, 2370 total lines, 40.99 avg chars/line
paper_574.txt: 0.93% removed, 18556 total lines, 34.09 avg chars/line
paper_231.txt: 1.89% removed, 8031 total lines, 34.99 avg chars/line
paper_442.txt: 0.93% removed, 5786 total lines, 13.84 avg chars/line
paper_580.txt: 0.29% removed, 37358 total lines, 8.41 avg chars/line
paper_620.txt: 3.08% removed, 4645 total lines, 40.10 avg chars/line
paper_63.txt: 3.48% removed, 20258 total lines, 29.88 avg chars/line
paper_126.txt: 3.14% removed, 12986 total lines, 36.06 avg chars/line
paper_176.txt: 1.50% removed, 12932 total lines, 29.68 avg chars/line
paper_301.txt: 1.03% removed, 14516 total lines, 26.82 avg chars/line
