index,author,etos_author,translator,etos_translator,title,text_filename
24,Aristotle,385 BCE-323 BCE,"Zambas, Kyriakos",1866,"Ηθικά Νικομάχεια, Τόμος Πρώτος",book_24_Aristotle.txt
25,Aristotle,385 BCE-323 BCE,"Gratsiatos, Paulos",,"Μικρά Φυσικά, Τόμος Δεύτερος",book_25_Aristotle.txt
26,Aristotle,385 BCE-323 BCE,"Gratsiatos, Paulos",,"Μικρά Φυσικά, Τόμος Πρώτος",book_26_Aristotle.txt
27,Aristotle,385 BCE-323 BCE,"Gratsiatos, Paulos",,Περί Ψυχής,book_27_Aristotle.txt
28,"Athanasius, Saint, Patriarch of Alexandria, -",373,,,"Declaration of Faith, in Latin and the Original Greek",book_28_Athanasius_Saint_Patriarch_of_Alexandria.txt
29,"Athanasius, Saint, Patriarch of Alexandria, -",373,,,"In Illud: Omnia mihi tradita sunt a Patre
A Homily on Matthew 11:27, In Latin and the Original Greek",book_29_Athanasius_Saint_Patriarch_of_Alexandria.txt
30,"Athanasius, Saint, Patriarch of Alexandria, -",373,,,"Declaration of Faith, in Latin and the Original Greek",book_30_Athanasius_Saint_Patriarch_of_Alexandria.txt
31,"Athanasius, Saint, Patriarch of Alexandria, -",373,,,"In Illud: Omnia mihi tradita sunt a Patre
A Homily on Matthew 11:27, In Latin and the Original Greek",book_31_Athanasius_Saint_Patriarch_of_Alexandria.txt
32,"Augustus, Emperor of Rome",64 BCE-14,,,Monumentum Ancyranum: The Deeds of Augustus,book_32_Augustus_Emperor_of_Rome.txt
33,"Augustus, Emperor of Rome",64 BCE-14,,,Monumentum Ancyranum: The Deeds of Augustus,book_33_Augustus_Emperor_of_Rome.txt
34,"Augustus, Emperor of Rome",64 BCE-14,,,Monumentum Ancyranum: The Deeds of Augustus,book_34_Augustus_Emperor_of_Rome.txt
35,"Axiotes, Pan. (Panagiotes)",1840-1918,,,"Διηγήματα, Νέα Σειρά",book_35_Axiotes_Pan_Panagiotes.txt
36,"Bédier, Joseph",1864-1938,"Ventiris, Nikolaos",,Το μυθιστόρημα του Τριστάνου και της Ιζόλδης,book_36_B_dier_Joseph.txt
37,"Brugman, Karl",1849-1919,"Palles, Alexandros",1851-1935,Γραφτή και Δημοτική και το Γλωσσικό Ζήτημα στην Ελλάδα,book_37_Brugman_Karl.txt
38,"Andersen, H. C. (Hans Christian)",1805-1875,"Chatziarapi, Anastasia",,Η νεράιδα του Πάγου,book_38_Andersen_H_C_Hans_Christian.txt
39,"Chatzopoulos, D.",1872-1936,,,Ντόπιες Ζωγραφιές,book_39_Chatzopoulos_D.txt
40,"Chatzopoulos, Kostantinos",1868-1920,,,Απλοί Τρόποι,book_40_Chatzopoulos_Kostantinos.txt
41,"Goethe, Johann Wolfgang von",1749-1832,"Chatzopoulos, Kostantinos",1868-1920,Ιφιγένεια εν Ταύροις: Δράμα σε πράξεις πέντε,book_41_Goethe_Johann_Wolfgang_von.txt
42,"Geijerstam, Gustaf af",1858-1909,"Chatzopoulos, Kostantinos",1868-1920,"Το βιβλίο του μικρού αδερφού
Μυθιστόρημα ενός Γάμου",book_42_Geijerstam_Gustaf_af.txt
43,"Chatzopoulos, Kostantinos",1868-1920,,,Υπεράνθρωπος: Διήγημα,book_43_Chatzopoulos_Kostantinos.txt
44,"Chatzopoulos, Kostantinos",1868-1920,,,Φθινόπωρο,book_44_Chatzopoulos_Kostantinos.txt
45,Sophocles,496? BCE,"Chrestomanos, Konstantinos",1867-1911,Αντιγόνη,book_45_Sophocles.txt
46,"Chrestomanos, Konstantinos",1867-1911,,,Η Κερένια κούκλα: Αθηναϊκό μυθιστόρημα,book_46_Chrestomanos_Konstantinos.txt
47,Homer,751? BCE,"Christopoulos, Athanasios",1771-1847,Ιλιάδος Ραψωδία Α: Μεταφρασθείσα εις δημοτικούς στίχους,book_47_Homer.txt
48,"Christovasilis, Christos",1862,,,Η αγάπη (Τριλογία),book_48_Christovasilis_Christos.txt
49,"Christovasilis, Christos",1862,,,Διηγήματα της ξενιτειάς,book_49_Christovasilis_Christos.txt
50,"Cottin, Madame (Sophie)",1770-1807,"Argyropoulos, K. P.",,Μαλβίνα: Ρωμαντικό Μυθιστόρημα του 18ου αιώνος,book_50_Cottin_Madame_Sophie.txt
51,"Shakespeare, William",1564-1616,"Damiralis, Michael",1892-1941,"Αντώνιος και Κλεοπάτρα
Τραγωδία εις πράξεις 5",book_51_Shakespeare_William.txt
52,"Deledda, Grazia",1871-1936,"Alexandridis, Christos",,Καλαμιές στον άνεμο,book_52_Deledda_Grazia.txt
53,"Delta, Penelope Stephanou",1874-1941,,,Παραμύθι χωρίς όνομα,book_53_Delta_Penelope_Stephanou.txt
54,"Demetrakopoulos, Polyvios",1864-1922,,,Αι δύο διαθήκαι,book_54_Demetrakopoulos_Polyvios.txt
55,Aristophanes,447? BCE,"Demetrakopoulos, Polyvios",1864-1922,Βάτραχοι,book_55_Aristophanes.txt
56,Euripides,481? BCE,"Demetrakopoulos, Polyvios",1864-1922,Ίων,book_56_Euripides.txt
57,Aristophanes,447? BCE,"Demetrakopoulos, Polyvios",1864-1922,Λυσιστράτη,book_57_Aristophanes.txt
58,Aristophanes,447? BCE,"Demetrakopoulos, Polyvios",1864-1922,Νεφέλαι,book_58_Aristophanes.txt
59,Aristophanes,447? BCE,"Demetrakopoulos, Polyvios",1864-1922,Όρνιθες,book_59_Aristophanes.txt
60,"Sangharakshita, Bhikshu",1925,"Doikas, Spiros",,Όραμα και Μεταμόρφωση : Μια εισαγωγή στο Ευγενές Οκταπλό Μονοπάτι του Βούδδα,book_60_Sangharakshita_Bhikshu.txt
61,"Dragoumes, Ion",1878-1920,,,Μελέται: 10 άρθρα του στον «Νουμά»,book_61_Dragoumes_Ion.txt
62,"Tolstoy, Leo, graf",1828-1910,"Economopoulos, Elias",1868-1929,Άννα Καρένιν,book_62_Tolstoy_Leo_graf.txt
63,"Prévost, Marcel",1862-1941,"Economopoulos, Elias",1868-1929,Η Μάγισσα,book_63_Pr_vost_Marcel.txt
64,"Eftaliotis, Argyris",1849-1923,,,"Ιστορία της Ρωμιοσύνης, Πρώτος τόμος",book_64_Eftaliotis_Argyris.txt
65,"Eftaliotis, Argyris",1849-1923,,,"Η μαζώχτρα κι άλλες ιστορίες
Ο Βουρκόλακας - Δράμα",book_65_Eftaliotis_Argyris.txt
66,"Eftaliotis, Argyris",1849-1923,,,Φυλλάδες του Γεροδήμου,book_66_Eftaliotis_Argyris.txt
67,"Euangelides, Tryphon E.",1863-1941,,,Ιστορία του Ιωάννου Καποδιστρίου Κυβερνήτου της Ελλάδος,book_67_Euangelides_Tryphon_E.txt
68,Euripides,481? BCE,"Tsokopoulos, George B.",1871-1923,Άλκηστις,book_68_Euripides.txt
69,Euripides,481? BCE,"Tsokopoulos, George B.",1871-1923,Ανδρομάχη,book_69_Euripides.txt
70,Euripides,481? BCE,"Tanagras, Angelos",1877-1964,Ηλέκτρα,book_70_Euripides.txt
71,Euripides,481? BCE,"Fragkias, Ioannis",,Ιφιγένεια εν Αυλίδι,book_71_Euripides.txt
72,Euripides,481? BCE,"Demetrakopoulos, Polyvios",1864-1922,Ίων,book_72_Euripides.txt
73,Euripides,481? BCE,"Tsokopoulos, George B.",1871-1923,Κύκλωψ,book_73_Euripides.txt
74,Euripides,481? BCE,"Voutierides, El. P. (Elias P.)",1874-1941,Ορέστης,book_74_Euripides.txt
75,"Augustus, Emperor of Rome",64 BCE-14,,,Monumentum Ancyranum: The Deeds of Augustus,book_75_Augustus_Emperor_of_Rome.txt
76,"Augustus, Emperor of Rome",64 BCE-14,,,Monumentum Ancyranum: The Deeds of Augustus,book_76_Augustus_Emperor_of_Rome.txt
77,"Augustus, Emperor of Rome",64 BCE-14,,,Monumentum Ancyranum: The Deeds of Augustus,book_77_Augustus_Emperor_of_Rome.txt
78,"Faltaits, Kostas",1891-1944,,,Αργία : διήγημα,book_78_Faltaits_Kostas.txt
79,"Farrar, F. W. (Frederic William)",1831-1903,"Papadiamantes, Alexandros",1851-1911,Ο Βίος του Χριστού,book_79_Farrar_F_W_Frederic_William.txt
80,"Flaubert, Gustave",1821-1880,"Simiriotis, S.",,Ηρωδιάς,book_80_Flaubert_Gustave.txt
81,Euripides,481? BCE,"Fragkias, Ioannis",,Ιφιγένεια εν Αυλίδι,book_81_Euripides.txt
82,"Geijerstam, Gustaf af",1858-1909,"Chatzopoulos, Kostantinos",1868-1920,"Το βιβλίο του μικρού αδερφού
Μυθιστόρημα ενός Γάμου",book_82_Geijerstam_Gustaf_af.txt
83,"Goethe, Johann Wolfgang von",1749-1832,"Aretas, Ioannis",,Βέρθερος,book_83_Goethe_Johann_Wolfgang_von.txt
84,"Goethe, Johann Wolfgang von",1749-1832,"Chatzopoulos, Kostantinos",1868-1920,Ιφιγένεια εν Ταύροις: Δράμα σε πράξεις πέντε,book_84_Goethe_Johann_Wolfgang_von.txt
85,"Sukhovo-Kobylin, A. (Aleksandr)",1817-1903,"Konstantinidis, Agathoklis",1854-1920,"Ο Γάμος του Κρεντσίνσκη, Κωμωδία εις τρεις πράξεις - Πανδρολογήματα, Κωμωδία εις δύο πράξεις",book_85_Sukhovo_Kobylin_A_Aleksandr.txt
86,"Golfis, Rigas",1886-1958,,,"Ο Γήταυρος
Δράμα",book_86_Golfis_Rigas.txt
87,Plato,428? BCE,"Gounaris, K.",,Φαίδρος,book_87_Plato.txt
88,Aristotle,385 BCE-323 BCE,"Gratsiatos, Paulos",,"Μικρά Φυσικά, Τόμος Δεύτερος",book_88_Aristotle.txt
89,Aristotle,385 BCE-323 BCE,"Gratsiatos, Paulos",,"Μικρά Φυσικά, Τόμος Πρώτος",book_89_Aristotle.txt
90,Aristotle,385 BCE-323 BCE,"Gratsiatos, Paulos",,Περί Ψυχής,book_90_Aristotle.txt
91,Plato,428? BCE,"Gratsiatos, Paulos",,"Τίμαιος, Τόμος Α",book_91_Plato.txt
92,Plato,428? BCE,"Gratsiatos, Paulos",,"Τίμαιος, Τόμος Β",book_92_Plato.txt
93,"Greenfield, William",1799-1831,,,A Greek-English Lexicon to the New Testament,book_93_Greenfield_William.txt
94,"Greenfield, William",1799-1831,,,A Greek-English Lexicon to the New Testament,book_94_Greenfield_William.txt
95,"Greenfield, William",1799-1831,,,A Greek-English Lexicon to the New Testament,book_95_Greenfield_William.txt
96,"Greenfield, William",1799-1831,,,A Greek-English Lexicon to the New Testament,book_96_Greenfield_William.txt
97,Aeschylus,526 BCE-457 BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,Αγαμέμνων,book_97_Aeschylus.txt
98,Aeschylus,526 BCE-457 BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,Επτά επί Θήβας,book_98_Aeschylus.txt
99,Plato,428? BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,Ευθύδημος,book_99_Plato.txt
100,Aeschylus,526 BCE-457 BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,Ευμενίδες,book_100_Aeschylus.txt
101,Plato,428? BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,"Πολιτεία, Τόμος 1",book_101_Plato.txt
102,Plato,428? BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,"Πολιτεία, Τόμος 2",book_102_Plato.txt
103,Plato,428? BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,"Πολιτεία, Τόμος 3",book_103_Plato.txt
104,Plato,428? BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,"Πολιτεία, Τόμος 4",book_104_Plato.txt
105,Aeschylus,526 BCE-457 BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,Χοηφόροι,book_105_Aeschylus.txt
106,Plato,428? BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,Ευθύδημος,book_106_Plato.txt
107,Plato,428? BCE,"Harokopos, Aristeidis",1851,"Κριτίας, Ίππαρχος, Αντερασταί",book_107_Plato.txt
108,Plato,428? BCE,"Harokopos, Aristeidis",1851,Πρωταγόρας,book_108_Plato.txt
109,Plato,428? BCE,"Harokopos, Aristeidis",1851,Φαίδων,book_109_Plato.txt
110,"Greenfield, William",1799-1831,,,A Greek-English Lexicon to the New Testament,book_110_Greenfield_William.txt
111,"Greenfield, William",1799-1831,,,A Greek-English Lexicon to the New Testament,book_111_Greenfield_William.txt
112,"Wilde, Oscar",1854-1900,"Hatzigavriil, M.",,Ιδανικός σύζυγος: Δράμα εις τέσσαρας πράξεις,book_112_Wilde_Oscar.txt
113,Herodotus,481? BCE,,,"Ιστορίαι Ηροδότου, Τόμος 1",book_113_Herodotus.txt
114,Herodotus,481? BCE,,,"Ιστορίαι Ηροδότου, Τόμος 2",book_114_Herodotus.txt
115,Homer,751? BCE,"Palles, Alexandros",1851-1935,Ιλιάδα,book_115_Homer.txt
116,Homer,751? BCE,"Christopoulos, Athanasios",1771-1847,Ιλιάδος Ραψωδία Α: Μεταφρασθείσα εις δημοτικούς στίχους,book_116_Homer.txt
117,Homer,751? BCE,"Polylas, Iakovos",1826-1898,Ομήρου Οδύσσεια Τόμος Α,book_117_Homer.txt
118,Homer,751? BCE,"Polylas, Iakovos",1826-1898,Ομήρου Οδύσσεια Τόμος Β,book_118_Homer.txt
119,Homer,751? BCE,"Polylas, Iakovos",1826-1898,Ομήρου Οδύσσεια Τόμος Γ,book_119_Homer.txt
120,Homer,751? BCE,"Polylas, Iakovos",1826-1898,Ομήρου Οδύσσεια Τόμος Δ,book_120_Homer.txt
121,"Kalvos, Andreas",1792-1869,"Martelaos, Antonios",1754-1819,Η Λύρα Ανδρέου Κάλβου και Ανέκδοτος Ύμνος Αντωνίου Μαρτελάου,book_121_Kalvos_Andreas.txt
122,Sophocles,496? BCE,"Kampanis, Aristos",1883-1956,Οιδίπους Τύραννος,book_122_Sophocles.txt
123,"Kampyses, Giannes",1872-1901,,,Μυστικό του Γάμου - Φάρσα της Ζωής,book_123_Kampyses_Giannes.txt
124,"Karkavitsas, Andreas",1866-1922,,,Ο αρχαιολόγος,book_124_Karkavitsas_Andreas.txt
125,"Karkavitsas, Andreas",1866-1922,,,Διηγήματα,book_125_Karkavitsas_Andreas.txt
126,"Karkavitsas, Andreas",1866-1922,,,Διηγήματα του Γυλιού,book_126_Karkavitsas_Andreas.txt
127,"Karkavitsas, Andreas",1866-1922,,,Λόγια της Πλώρης: Θαλασσινά Διηγήματα,book_127_Karkavitsas_Andreas.txt
128,"Karkavitsas, Andreas",1866-1922,,,Η Λυγερή,book_128_Karkavitsas_Andreas.txt
129,"Karkavitsas, Andreas",1866-1922,,,Παλιές Αγάπες,book_129_Karkavitsas_Andreas.txt
130,"Karolides, Paulos",1849-1930,,,Ο Αυτοκράτωρ Ηράκλειος,book_130_Karolides_Paulos.txt
131,"Karolides, Paulos",1849-1930,,,Ο Αυτοκράτωρ Ιουστινιανός,book_131_Karolides_Paulos.txt
132,"Karolides, Paulos",1849-1930,,,Ο Γερμανικός Φιλελληνισμός,book_132_Karolides_Paulos.txt
133,"Karolides, Paulos",1849-1930,,,Εγχειρίδιον Βυζαντινής Ιστορίας,book_133_Karolides_Paulos.txt
134,"Karolides, Paulos",1849-1930,,,Η Ευρώπη κατά τον 19ον αιώνα,book_134_Karolides_Paulos.txt
135,"Kondylakes, Ioannes",1861-1920,,,Ενώ διέβαινα - Χρονογραφήματα,book_135_Kondylakes_Ioannes.txt
136,"Lucian, of Samosata",120-180,"Kondylakes, Ioannes",1861-1920,"Λουκιανός - Άπαντα, Τόμος Δεύτερος",book_136_Lucian_of_Samosata.txt
137,"Lucian, of Samosata",120-180,"Kondylakes, Ioannes",1861-1920,"Λουκιανός - Άπαντα, Τόμος Έκτος",book_137_Lucian_of_Samosata.txt
138,"Lucian, of Samosata",120-180,"Kondylakes, Ioannes",1861-1920,"Λουκιανός - Άπαντα, Τόμος Πέμπτος",book_138_Lucian_of_Samosata.txt
139,"Lucian, of Samosata",120-180,"Kondylakes, Ioannes",1861-1920,"Λουκιανός - Άπαντα, Τόμος Τέταρτος",book_139_Lucian_of_Samosata.txt
140,"Lucian, of Samosata",120-180,"Kondylakes, Ioannes",1861-1920,"Λουκιανός - Άπαντα, Τόμος Τρίτος",book_140_Lucian_of_Samosata.txt
141,"Kondylakes, Ioannes",1861-1920,,,Η ολοκαύτωσις του Αρκαδίου,book_141_Kondylakes_Ioannes.txt
142,"Kondylakes, Ioannes",1861-1920,,,Ο Πατούχας,book_142_Kondylakes_Ioannes.txt
143,"Kondylakes, Ioannes",1861-1920,,,Πρώτη αγάπη,book_143_Kondylakes_Ioannes.txt
144,"Sukhovo-Kobylin, A. (Aleksandr)",1817-1903,"Konstantinidis, Agathoklis",1854-1920,"Ο Γάμος του Κρεντσίνσκη, Κωμωδία εις τρεις πράξεις - Πανδρολογήματα, Κωμωδία εις δύο πράξεις",book_144_Sukhovo_Kobylin_A_Aleksandr.txt
145,Plato,428? BCE,"Harokopos, Aristeidis",1851,"Κριτίας, Ίππαρχος, Αντερασταί",book_145_Plato.txt
146,"Deledda, Grazia",1871-1936,"Alexandridis, Christos",,Καλαμιές στον άνεμο,book_146_Deledda_Grazia.txt
147,Plato,428? BCE,"Kountouriotes, Nikolaos",,Συμπόσιον : ή περί έρωτος,book_147_Plato.txt
148,"Krystalles, Kostas",1868-1894,,,Έργα Ποιήματα - Πεζά Τόμος Δεύτερος,book_148_Krystalles_Kostas.txt
149,"Krystalles, Kostas",1868-1894,,,Έργα Ποιήματα - Πεζά Τόμος Πρώτος,book_149_Krystalles_Kostas.txt
150,"Krystalles, Kostas",1868-1894,,,Πεζογραφήματα,book_150_Krystalles_Kostas.txt
151,"Valaorites, Aristoteles",1824-1879,,,Αθανάσης Διάκος - Αστραπόγιαννος,book_151_Valaorites_Aristoteles.txt
152,Longus,,"Voutierides, El. P. (Elias P.)",1874-1941,Δάφνης και Χλόη,book_152_Longus.txt
153,"Lucian, of Samosata",120-180,,,Lucian's Dialogues prepared for schools,book_153_Lucian_of_Samosata.txt
154,"Lucian, of Samosata",120-180,"Kondylakes, Ioannes",1861-1920,"Λουκιανός - Άπαντα, Τόμος Δεύτερος",book_154_Lucian_of_Samosata.txt
155,"Lucian, of Samosata",120-180,"Kondylakes, Ioannes",1861-1920,"Λουκιανός - Άπαντα, Τόμος Έκτος",book_155_Lucian_of_Samosata.txt
156,"Lucian, of Samosata",120-180,"Kondylakes, Ioannes",1861-1920,"Λουκιανός - Άπαντα, Τόμος Πέμπτος",book_156_Lucian_of_Samosata.txt
157,"Lucian, of Samosata",120-180,"Kondylakes, Ioannes",1861-1920,"Λουκιανός - Άπαντα, Τόμος Τέταρτος",book_157_Lucian_of_Samosata.txt
158,"Lucian, of Samosata",120-180,"Kondylakes, Ioannes",1861-1920,"Λουκιανός - Άπαντα, Τόμος Τρίτος",book_158_Lucian_of_Samosata.txt
159,Plato,428? BCE,"Lymperopoulos, A.",,"Ερυξίας, Αξίοχος, Αλκυών",book_159_Plato.txt
160,Plato,428? BCE,"Lymperopoulos, A.",,"Ερυξίας, Αξίοχος, Αλκυών",book_160_Plato.txt
161,"Marmontel, Jean-François",1723-1799,"Pangalos, Alexandros",,Ο Βελισάριος,book_161_Marmontel_Jean_Fran_ois.txt
162,"Wilde, Oscar",1854-1900,"Marpoutzoglou, Alex G.",,Στοχασμοί,book_162_Wilde_Oscar.txt
163,"Kalvos, Andreas",1792-1869,"Martelaos, Antonios",1754-1819,Η Λύρα Ανδρέου Κάλβου και Ανέκδοτος Ύμνος Αντωνίου Μαρτελάου,book_163_Kalvos_Andreas.txt
164,"Marx, Karl",1818-1883,,,"Το κεφάλαιον
Περίληψις Παύλου Λαφάργκ, μετά προλόγου Β. Παρέτο",book_164_Marx_Karl.txt
165,"Melas, Leon",1812-1879,,,Ο Γεροστάθης; ή Αναμνήσεις της παιδικής μου ηλικίας,book_165_Melas_Leon.txt
166,"Murray, Gilbert",1866-1957,"Menardos, Simos",1872-1933,Ιστορία της Αρχαίας Ελληνικής Λογοτεχνίας,book_166_Murray_Gilbert.txt
167,Molière,1622-1673,"Polemes, Ioannes",1862-1924,Ο Αρχοντοχωριάτης,book_167_Moli_re.txt
168,Molière,1622-1673,"Polemes, Ioannes",1862-1924,Ο κατά φαντασίαν ασθενής,book_168_Moli_re.txt
169,Plato,428? BCE,"Moraitides, Alexandros",1850-1929,Απολογία Σωκράτους,book_169_Plato.txt
170,"Moraitides, Alexandros",1850-1929,,,"Διηγήματα, Τόμος Α",book_170_Moraitides_Alexandros.txt
171,"Moraitides, Alexandros",1850-1929,,,"Διηγήματα, Τόμος Β",book_171_Moraitides_Alexandros.txt
172,"Moraitides, Alexandros",1850-1929,,,"Διηγήματα, Τόμος Γ",book_172_Moraitides_Alexandros.txt
173,"Moraitides, Alexandros",1850-1929,,,"Διηγήματα, Τόμος Δ",book_173_Moraitides_Alexandros.txt
174,Plato,428? BCE,"Moraitides, Alexandros",1850-1929,Ευθύφρων,book_174_Plato.txt
175,"Murray, Gilbert",1866-1957,"Menardos, Simos",1872-1933,Ιστορία της Αρχαίας Ελληνικής Λογοτεχνίας,book_175_Murray_Gilbert.txt
176,"Nirvanas, Paulos",1866-1937,,,Η βοσκοπούλα με τα μαργαριτάρια και άλλες μικρές ιστορίες,book_176_Nirvanas_Paulos.txt
177,"Nirvanas, Paulos",1866-1937,,,Όταν σπάση τα δεσμά του: Δράμα σε μέρη τρία,book_177_Nirvanas_Paulos.txt
178,"Nirvanas, Paulos",1866-1937,,,Το συναξάρι του Παπά-Παρθένη κι' άλλες νησιώτικες ιστορίες,book_178_Nirvanas_Paulos.txt
179,,,,,Τα ανέκδοτα του Βασιλέως Γεωργίου Α,book_179_unknown.txt
180,,,,,"Παραμύθια της Χαλιμάς Τόμος 1
Ήτοι Διηγήσεις και Συβεβηκότα λίαν περίεργα και ωραία Συνταχθέντα εις την Αραβικήν υπό του πολυμαθούς Δερβίς Αμπου Mπεκήρ Κατά την έκδοσιν της Βενετίας",book_180_unknown.txt
181,,,,,"Χαλιμά, Τόμος 2
Εξακολούθησις των ιστοριών",book_181_unknown.txt
